,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
2862,2020,General,State Representative,0,54,Democratic,alicemarie slavenemond,11715.0,2,0.0,20205038981.0
2945,2020,Primary,State Representative,Democratic,54,Democratic,alicemarie slavenemond,5686.0,1,0.0,20205038981.0
3082,2022,Primary,State Representative,Democratic,54,Democratic,alicemarie slavenemond,4198.0,1,0.0,20225043192
179,2000,Primary,State Representative,Democratic,14,Democratic,alison burchell,798.0,2,0.0,20000914002
3190,2002,General,Attorney General,0,Colorado,Green,alison ynard,35301.0,3,0.0,20025990264.0
905,2006,General,State Representative,0,43,Democratic,allen dreher,9362.0,2,0.0,20065622218.0
997,2006,Primary,State Representative,Democratic,43,Democratic,allen dreher,811.0,1,0.0,20065622218.0
848,2006,General,State Representative,0,15,Democratic,allison hunter,7589.0,2,0.0,
969,2006,Primary,State Representative,Democratic,15,Democratic,allison hunter,990.0,1,0.0,
2381,2016,Primary,State Representative,Democratic,62,Democratic,alonzo payne,2563.0,2,0.0,20165030099.0
3040,2022,Primary,State Representative,Democratic,15,Democratic,alvin sexton,4623.0,1,0.0,20215041644
2456,2018,General,State Representative,0,1,Republican,alysia padilla,8687.0,2,0.0,20185035606.0
2672,2018,Primary,State Representative,Republican,1,Republican,alysia padilla,3054.0,1,0.0,20185035606.0
3491,1994,General,State Senate,0,6,Democratic,amanda bandy,15141.0,2,0.0,
3520,1994,Primary,State Senate,Democratic,6,Democratic,amanda bandy,2335.0,1,0.0,
1135,2008,General,State Representative,0,27,American Constitution,amanda campbell,1425.0,3,0.0,
3338,2010,General,Secretary of State,0,Colorado,American Constitution,amanda campbell,113756.0,3,0.0,
3343,2014,General,Secretary of State,0,Colorado,American Constitution,amanda campbell,77790.0,3,0.0,
3347,2014,Primary,Secretary of State,American Constitution,Colorado,American Constitution,amanda campbell,925.0,1,0.0,
3350,2018,General,Secretary of State,0,Colorado,American Constitution,amanda campbell,51734.0,3,0.0,
2804,2020,General,State Representative,0,28,Libertarian,amara hildebrand,2519.0,3,0.0,
1481,2010,Primary,State Representative,Democratic,4,Democratic,amber tafoya,2385.0,2,0.0,20095606950.0
1686,2012,General,State Representative,0,28,Republican,amy attwood,15968.0,2,0.0,20115023000.0
1879,2012,Primary,State Representative,Republican,28,Republican,amy attwood,3417.0,1,0.0,20115023000.0
2598,2018,Primary,State Representative,Democratic,4,Democratic,amy beatie,4346.0,2,0.0,20175031892.0
3692,2000,General,State Senate,0,4,Libertarian,amy csh,2954.0,3,0.0,
1655,2012,General,State Representative,0,18,American Constitution,amy fedde,836.0,4,0.0,
1784,2012,Primary,State Representative,American Constitution,18,American Constitution,amy fedde,11.0,1,0.0,
858,2006,General,State Representative,0,20,Republican,amy stephens,25419.0,1,0.0,20055609738.0
1035,2006,Primary,State Representative,Republican,20,Republican,amy stephens,8538.0,1,0.0,20055609738.0
1121,2008,General,State Representative,0,20,Republican,amy stephens,38555.0,1,1.0,20055609738.0
1304,2008,Primary,State Representative,Republican,20,Republican,amy stephens,10680.0,1,1.0,20055609738.0
1386,2010,General,State Representative,0,20,Republican,amy stephens,35197.0,1,1.0,20055609738.0
1559,2010,Primary,State Representative,Republican,20,Republican,amy stephens,11683.0,1,1.0,20055609738.0
1661,2012,General,State Representative,0,19,Republican,amy stephens,33606.0,1,1.0,20125023057.0
1867,2012,Primary,State Representative,Republican,19,Republican,amy stephens,7458.0,1,1.0,20125023057.0
262,2000,Primary,State Representative,Republican,41,Republican,andre downer,504.0,2,0.0,20000941002
2774,2020,General,State Representative,0,16,Republican,andres pico,23842.0,1,0.0,20195037200.0
2970,2020,Primary,State Representative,Republican,16,Republican,andres pico,10521.0,1,0.0,20195037200.0
3081,2022,Primary,State Representative,Democratic,53,Democratic,andrew boesenecker,7782.0,1,0.0,20205039996
935,2006,General,State Representative,0,57,Democratic,andrew gold,8456.0,2,0.0,
1013,2006,Primary,State Representative,Democratic,57,Democratic,andrew gold,985.0,1,0.0,
582,2004,General,State Representative,0,7,Colorado Reform,andrew jones,2909.0,2,0.0,
4515,2020,General,State Senate,0,17,Unaffiliated,andrew oconnor,19.0,3,0.0,
174,2000,Primary,State Representative,Democratic,9,Democratic,andrew romanoff,1308.0,1,0.0,19990909003
303,2002,General,State Representative,0,6,Democratic,andrew romanoff,18208.0,1,0.0,19990909003
447,2002,Primary,State Representative,Democratic,6,Democratic,andrew romanoff,4230.0,1,0.0,19990909003
579,2004,General,State Representative,0,6,Democratic,andrew romanoff,23782.0,1,1.0,19990909003
712,2004,Primary,State Representative,Democratic,6,Democratic,andrew romanoff,7194.0,1,1.0,19990909003
835,2006,General,State Representative,0,6,Democratic,andrew romanoff,19640.0,1,1.0,19990909003
959,2006,Primary,State Representative,Democratic,6,Democratic,andrew romanoff,5184.0,1,1.0,19990909003
1130,2008,General,State Representative,0,25,Democratic,andrew scripter,18326.0,2,0.0,20075613936.0
1243,2008,Primary,State Representative,Democratic,25,Democratic,andrew scripter,3504.0,1,0.0,20075613936.0
2483,2018,General,State Representative,0,16,Democratic,andrew smith,12484.0,2,0.0,20185033560.0
2616,2018,Primary,State Representative,Democratic,16,Democratic,andrew smith,4652.0,1,0.0,20185033560.0
870,2006,General,State Representative,0,26,Democratic,andy kerr,14025.0,1,0.0,20065623809
979,2006,Primary,State Representative,Democratic,26,Democratic,andy kerr,3152.0,1,0.0,20065623809
1133,2008,General,State Representative,0,26,Democratic,andy kerr,18850.0,1,1.0,20065623809
1244,2008,Primary,State Representative,Democratic,26,Democratic,andy kerr,3645.0,1,1.0,20065623809
1396,2010,General,State Representative,0,26,Democratic,andy kerr,13624.0,1,1.0,20065623809
1505,2010,Primary,State Representative,Democratic,26,Democratic,andy kerr,4851.0,1,1.0,20065623809
4190,2012,General,State Senate,0,22,Democratic,andy kerr,38845.0,1,1.0,20115023013
4226,2012,Primary,State Senate,Democratic,22,Democratic,andy kerr,5484.0,1,1.0,20115023013
4293,2014,General,State Senate,0,22,Democratic,andy kerr,30510.0,1,1.0,20115023013
4315,2014,Primary,State Senate,Democratic,22,Democratic,andy kerr,5735.0,1,1.0,20115023013
3701,2000,General,State Senate,0,12,Republican,andy mcelhany,35165.0,1,0.0,19990812003.0
3768,2000,Primary,State Senate,Republican,12,Republican,andy mcelhany,6207.0,1,0.0,19990812003.0
3860,2004,General,State Senate,0,12,Republican,andy mcelhany,34678.0,1,1.0,19990812003.0
3910,2004,Primary,State Senate,Republican,12,Republican,andy mcelhany,9295.0,1,1.0,19990812003.0
2677,2018,Primary,State Representative,Republican,9,Republican,angel saunders,1263.0,2,0.0,20185034897.0
892,2006,General,State Representative,0,37,Democratic,angela engel,14033.0,2,0.0,20065622028.0
991,2006,Primary,State Representative,Democratic,37,Democratic,angela engel,2354.0,1,0.0,20065622028.0
4082,2010,General,State Senate,0,3,Democratic,angela giron,24827.0,1,0.0,20095617598.0
4122,2010,Primary,State Senate,Democratic,3,Democratic,angela giron,11536.0,1,0.0,20095617598.0
1362,2010,General,State Representative,0,7,Democratic,angela williams,18938.0,1,0.0,20095605802.0
1487,2010,Primary,State Representative,Democratic,7,Democratic,angela williams,5337.0,1,0.0,20095605802.0
1625,2012,General,State Representative,0,7,Democratic,angela williams,23430.0,1,1.0,20095605802.0
1795,2012,Primary,State Representative,Democratic,7,Democratic,angela williams,3152.0,1,1.0,20095605802.0
1935,2014,General,State Representative,0,7,Democratic,angela williams,16953.0,1,1.0,20095605802.0
2066,2014,Primary,State Representative,Democratic,7,Democratic,angela williams,4042.0,1,1.0,20095605802.0
4373,2016,General,State Senate,0,33,Democratic,angela williams,57049.0,1,1.0,20155028984.0
4396,2016,Primary,State Senate,Democratic,33,Democratic,angela williams,12837.0,1,1.0,20155028984.0
2334,2016,Primary,State Representative,Democratic,10,Democratic,angelique espinoza,4152.0,2,0.0,20155028865.0
1800,2012,Primary,State Representative,Democratic,12,Democratic,angie layton,2918.0,2,0.0,20115022841.0
409,2002,General,State Representative,0,53,Democratic,angie paccione,9656.0,1,0.0,20025800124.0
490,2002,Primary,State Representative,Democratic,53,Democratic,angie paccione,724.0,1,0.0,20025800124.0
679,2004,General,State Representative,0,53,Democratic,angie paccione,18920.0,1,1.0,20025800124.0
755,2004,Primary,State Representative,Democratic,53,Democratic,angie paccione,2884.0,1,1.0,20025800124.0
124,2000,General,State Representative,0,51,Democratic,ann harroun,11878.0,2,0.0,20000951005.0
212,2000,Primary,State Representative,Democratic,51,Democratic,ann harroun,429.0,1,0.0,20000951005.0
83,2000,General,State Representative,0,35,Democratic,ann ragsdale,9756.0,1,0.0,19990935004.0
198,2000,Primary,State Representative,Democratic,35,Democratic,ann ragsdale,808.0,1,0.0,19990935004.0
373,2002,General,State Representative,0,35,Democratic,ann ragsdale,11772.0,1,1.0,19990935004.0
475,2002,Primary,State Representative,Democratic,35,Democratic,ann ragsdale,1377.0,1,1.0,19990935004.0
638,2004,General,State Representative,0,35,Democratic,ann ragsdale,13585.0,1,1.0,19990935004.0
738,2004,Primary,State Representative,Democratic,35,Democratic,ann ragsdale,2869.0,1,1.0,19990935004.0
859,2006,General,State Representative,0,21,Democratic,anna lord,9970.0,2,0.0,20065621423.0
974,2006,Primary,State Representative,Democratic,21,Democratic,anna lord,1066.0,1,0.0,20065621423.0
1122,2008,General,State Representative,0,21,Democratic,anna lord,13882.0,2,0.0,20065621423.0
1237,2008,Primary,State Representative,Democratic,21,Democratic,anna lord,1554.0,1,0.0,20065621423.0
572,2004,General,State Representative,0,3,Democratic,anne mcgihon,19027.0,1,0.0,20035620795.0
709,2004,Primary,State Representative,Democratic,3,Democratic,anne mcgihon,4399.0,1,0.0,20035620795.0
831,2006,General,State Representative,0,3,Democratic,anne mcgihon,17044.0,1,1.0,20035620795.0
956,2006,Primary,State Representative,Democratic,3,Democratic,anne mcgihon,2916.0,1,1.0,20035620795.0
1086,2008,General,State Representative,0,3,Democratic,anne mcgihon,21482.0,1,1.0,20035620795.0
1214,2008,Primary,State Representative,Democratic,3,Democratic,anne mcgihon,3398.0,1,1.0,20035620795.0
928,2006,General,State Representative,0,53,Republican,anne yeldell,8474.0,2,0.0,20055616712.0
1069,2006,Primary,State Representative,Republican,53,Republican,anne yeldell,2131.0,1,0.0,20055616712.0
2284,2016,General,State Representative,0,48,Democratic,annie king,14168.0,2,0.0,20165031203.0
2371,2016,Primary,State Representative,Democratic,48,Democratic,annie king,2478.0,1,0.0,20165031203.0
118,2000,General,State Representative,0,48,Libertarian,anthony barbour,4778.0,2,0.0,
2318,2016,General,State Representative,0,65,Democratic,anthony engelhaupt,6797.0,2,0.0,20165031286.0
2385,2016,Primary,State Representative,Democratic,65,Democratic,anthony engelhaupt,1939.0,1,0.0,20165031286.0
3142,2022,Primary,State Representative,Republican,44,Republican,anthony hartsook,7361.0,1,0.0,20215041763
3321,2000,General,Secretary of State,0,Colorado,Democratic,anthony martinez,609366.0,2,0.0,19990300007
3326,2000,Primary,Secretary of State,Democratic,Colorado,Democratic,anthony martinez,65012.0,1,0.0,19990300007
3329,2002,General,Secretary of State,0,Colorado,Democratic,anthony martinez,513085.0,2,0.0,20025611071.0
3332,2002,Primary,Secretary of State,Democratic,Colorado,Democratic,anthony martinez,99715.0,1,0.0,20025611071.0
3104,2022,Primary,State Representative,Republican,12,Republican,anya kirvan,3876.0,1,0.0,20225042891
84,2000,General,State Representative,0,35,Libertarian,ari armstrong,680.0,3,0.0,
47,2000,General,State Representative,0,20,Libertarian,ariane hildenbrandt,5397.0,2,0.0,
4584,2022,Primary,State Senate,Democratic,9,Democratic,arik dougherty,11044.0,1,0.0,20225043037
4236,2012,Primary,State Senate,Democratic,35,Democratic,armando valdez,4313.0,2,0.0,20125023322.0
4542,2020,Primary,State Senate,Democratic,8,Democratic,arn menconi,8584.0,2,0.0,20205038159.0
1720,2012,General,State Representative,0,41,Republican,art carlson,11514.0,2,0.0,20125025096.0
4256,2012,Primary,State Senate,Republican,28,Republican,art carlson,1948.0,2,0.0,20125025096.0
2502,2018,General,State Representative,0,24,Republican,arthur erwin,14945.0,2,0.0,20185033754.0
2696,2018,Primary,State Representative,Republican,24,Republican,arthur erwin,5656.0,1,0.0,20185033754.0
2608,2018,Primary,State Representative,Democratic,9,Democratic,ashley wheeland,6011.0,2,0.0,20185033644.0
2491,2018,General,State Representative,0,19,Democratic,asia zanders,11667.0,2,0.0,20185034283.0
2620,2018,Primary,State Representative,Democratic,19,Democratic,asia zanders,4292.0,1,0.0,20185034283.0
2988,2020,Primary,State Representative,Republican,34,Republican,audrey herman,2061.0,2,0.0,20205038110.0
3694,2000,General,State Senate,0,8,Democratic,aul ohri,25841.0,2,0.0,20000808003
3746,2000,Primary,State Senate,Democratic,8,Democratic,aul ohri,1195.0,1,0.0,20000808003
3153,2022,Primary,State Representative,Republican,51,Republican,austin hein,6089.0,2,0.0,20225042197
1445,2010,General,State Representative,0,49,Republican,b nikkel,22886.0,1,0.0,20085622248.0
1590,2010,Primary,State Representative,Republican,49,Republican,b nikkel,8199.0,1,0.0,20085622248.0
250,2000,Primary,State Representative,Republican,31,Republican,barbara kirkmeyer,935.0,2,0.0,19990931004
4523,2020,General,State Senate,0,23,Republican,barbara kirkmeyer,71570.0,1,0.0,20195036481.0
4572,2020,Primary,State Senate,Republican,23,Republican,barbara kirkmeyer,15209.0,1,0.0,20195036481.0
2304,2016,General,State Representative,0,59,Democratic,barbara mclachlan,23336.0,1,0.0,20155029760.0
2378,2016,Primary,State Representative,Democratic,59,Democratic,barbara mclachlan,4600.0,1,0.0,20155029760.0
2579,2018,General,State Representative,0,59,Democratic,barbara mclachlan,23273.0,1,1.0,20155029760.0
2665,2018,Primary,State Representative,Democratic,59,Democratic,barbara mclachlan,8059.0,1,1.0,20155029760.0
2874,2020,General,State Representative,0,59,Democratic,barbara mclachlan,29524.0,1,1.0,20155029760.0
2950,2020,Primary,State Representative,Democratic,59,Democratic,barbara mclachlan,13516.0,1,1.0,20155029760.0
3088,2022,Primary,State Representative,Democratic,59,Democratic,barbara mclachlan,7372.0,1,1.0,20155029760
3648,1998,General,State Senate,0,30,Democratic,barbara ogrady,21315.0,2,0.0,
3666,1998,Primary,State Senate,Democratic,30,Democratic,barbara ogrady,2758.0,1,0.0,
4179,2012,General,State Senate,0,14,Unaffiliated,barrett rothe,1828.0,4,0.0,20115022886.0
2546,2018,General,State Representative,0,43,Democratic,barrett rothe,19027.0,2,0.0,20185033476.0
2647,2018,Primary,State Representative,Democratic,43,Democratic,barrett rothe,6815.0,1,0.0,20185033476.0
3505,1994,General,State Senate,0,20,Republican,barry arrington,13830.0,2,0.0,
3545,1994,Primary,State Senate,Republican,20,Republican,barry arrington,2834.0,1,0.0,
138,2000,General,State Representative,0,56,Libertarian,barry maggert,1266.0,3,0.0,
1651,2012,General,State Representative,0,17,American Constitution,barry pace,570.0,4,0.0,
1783,2012,Primary,State Representative,American Constitution,17,American Constitution,barry pace,13.0,1,0.0,
3990,2006,Primary,State Senate,Republican,16,Republican,barry thoma,1820.0,2,0.0,
4184,2012,General,State Senate,0,18,Republican,barry thoma,18427.0,2,0.0,20125024721.0
4246,2012,Primary,State Senate,Republican,18,Republican,barry thoma,3969.0,1,0.0,20125024721.0
1006,2006,Primary,State Representative,Democratic,51,Democratic,becky jay,1075.0,2,0.0,20065611200.0
696,2004,General,State Representative,0,61,Republican,becky rippy,12320.0,2,0.0,20045637700.0
822,2004,Primary,State Representative,Republican,61,Republican,becky rippy,2843.0,1,0.0,20045637700.0
3442,1992,General,State Senate,0,28,Democratic,belle miran,16227.0,2,0.0,
3461,1992,Primary,State Senate,Democratic,28,Democratic,belle miran,3362.0,1,0.0,
3492,1994,General,State Senate,0,6,Republican,ben alexander,22855.0,1,0.0,19940806001
3536,1994,Primary,State Senate,Republican,6,Republican,ben alexander,6814.0,1,0.0,19940806001
3495,1994,General,State Senate,0,9,Democratic,ben glidden,12174.0,2,0.0,
3522,1994,Primary,State Senate,Democratic,9,Democratic,ben glidden,1030.0,1,0.0,
295,2002,General,State Representative,0,3,Libertarian,benjamin aycrigg,577.0,3,0.0,
4399,2016,Primary,State Senate,Republican,4,Republican,benjamin lyng,5803.0,2,0.0,20165030118.0
379,2002,General,State Representative,0,37,Write-In,bennett rutledge,0.0,3,0.0,
4656,2018,Primary,State Treasurer,Democratic,Colorado,Democratic,bernard douthit,175116.0,2,0.0,20175032291.0
683,2004,General,State Representative,0,55,Democratic,bernie buescher,18006.0,1,0.0,20045638936.0
757,2004,Primary,State Representative,Democratic,55,Democratic,bernie buescher,2570.0,1,0.0,20045638936.0
931,2006,General,State Representative,0,55,Democratic,bernie buescher,13466.0,1,1.0,20045638936.0
1011,2006,Primary,State Representative,Democratic,55,Democratic,bernie buescher,1893.0,1,1.0,20045638936.0
1191,2008,General,State Representative,0,55,Democratic,bernie buescher,17391.0,2,1.0,20045638936.0
1274,2008,Primary,State Representative,Democratic,55,Democratic,bernie buescher,2354.0,1,1.0,20045638936.0
3339,2010,General,Secretary of State,0,Colorado,Democratic,bernie buescher,755522.0,2,1.0,20095601827.0
