,election_year,election_type,office_name,primary_party,district_name,candidate_party,candidate_name,votes,votes_rank,incumbent,CO_ID
1409,2010,General,State Representative,0,32,Democratic,edward casso,10068.0,1,1.0,20055616361.0
1512,2010,Primary,State Representative,Democratic,32,Democratic,edward casso,3502.0,1,1.0,20055616361.0
1203,2008,General,State Representative,0,62,Democratic,edward vigil,15438.0,1,0.0,20085606897.0
1280,2008,Primary,State Representative,Democratic,62,Democratic,edward vigil,3171.0,1,0.0,20085606897.0
1472,2010,General,State Representative,0,62,Democratic,edward vigil,11842.0,1,1.0,20085606897.0
1537,2010,Primary,State Representative,Democratic,62,Democratic,edward vigil,6227.0,1,1.0,20085606897.0
1773,2012,General,State Representative,0,62,Democratic,edward vigil,21125.0,1,1.0,20085606897.0
1844,2012,Primary,State Representative,Democratic,62,Democratic,edward vigil,6981.0,1,1.0,20085606897.0
3076,2022,Primary,State Representative,Democratic,47,Democratic,edwin ormiston,5934.0,1,0.0,20225042439
3642,1998,General,State Senate,0,20,Democratic,edwin perlmutter,19083.0,1,0.0,19940820001
3662,1998,Primary,State Senate,Democratic,20,Democratic,edwin perlmutter,3300.0,1,0.0,19940820001
226,2000,Primary,State Representative,Republican,9,Republican,eldon strong,1243.0,1,0.0,19990909004
4508,2020,General,State Senate,0,12,Democratic,electra johnson,29656.0,2,0.0,20205039281.0
4545,2020,Primary,State Senate,Democratic,12,Democratic,electra johnson,13355.0,1,0.0,20205039281.0
1937,2014,General,State Representative,0,7,Unaffiliated,elet valentine,1111.0,3,0.0,20145028232.0
2328,2016,Primary,State Representative,Democratic,7,Democratic,elet valentine,1180.0,3,0.0,20145028232.0
3030,2022,Primary,State Representative,Democratic,6,Democratic,elisabeth epps,9201.0,1,0.0,20215041777
4500,2020,General,State Senate,0,4,Democratic,elissa flaumenhaft,41526.0,2,0.0,20205038149.0
4541,2020,Primary,State Senate,Democratic,4,Democratic,elissa flaumenhaft,19997.0,1,0.0,20205038149.0
3090,2022,Primary,State Representative,Democratic,61,Democratic,eliza hamrick,7387.0,1,0.0,20215041810
3086,2022,Primary,State Representative,Democratic,57,Democratic,elizabeth velasco,5414.0,1,0.0,20215041761
941,2006,General,State Representative,0,59,Republican,ellen roberts,14720.0,1,0.0,20045659265.0
1076,2006,Primary,State Representative,Republican,59,Republican,ellen roberts,2568.0,1,0.0,20045659265.0
1199,2008,General,State Representative,0,59,Republican,ellen roberts,30025.0,1,1.0,20045659265.0
1343,2008,Primary,State Representative,Republican,59,Republican,ellen roberts,2213.0,1,1.0,20045659265.0
4087,2010,General,State Senate,0,6,Republican,ellen roberts,34574.0,1,1.0,20095608382.0
4149,2010,Primary,State Senate,Republican,6,Republican,ellen roberts,9159.0,1,1.0,20095608382.0
4275,2014,General,State Senate,0,6,Republican,ellen roberts,43482.0,1,1.0,20095608382.0
4324,2014,Primary,State Senate,Republican,6,Republican,ellen roberts,12605.0,1,1.0,20095608382.0
1770,2012,General,State Representative,0,61,Libertarian,ellen temby,1132.0,4,0.0,20125024082.0
1635,2012,General,State Representative,0,11,Republican,ellyn hilliard,16899.0,2,0.0,20125023320.0
1859,2012,Primary,State Representative,Republican,11,Republican,ellyn hilliard,3927.0,1,0.0,20125023320.0
3443,1992,General,State Senate,0,28,Republican,elsie lacy,21338.0,1,0.0,19960828001
3480,1992,Primary,State Senate,Republican,28,Republican,elsie lacy,2247.0,1,0.0,19960828001
3576,1996,General,State Senate,0,28,Republican,elsie lacy,19127.0,1,1.0,19960828001
3618,1996,Primary,State Senate,Republican,28,Republican,elsie lacy,2599.0,1,1.0,19960828001
2469,2018,General,State Representative,0,9,Democratic,emily sirota,27265.0,1,0.0,20185033624.0
2609,2018,Primary,State Representative,Democratic,9,Democratic,emily sirota,7444.0,1,0.0,20185033624.0
2754,2020,General,State Representative,0,9,Democratic,emily sirota,32059.0,1,1.0,20185033624.0
2898,2020,Primary,State Representative,Democratic,9,Democratic,emily sirota,18284.0,1,1.0,20185033624.0
3034,2022,Primary,State Representative,Democratic,9,Democratic,emily sirota,10731.0,1,1.0,20185033624
424,2002,General,State Representative,0,60,Democratic,emily tracy,8738.0,2,0.0,20025800018.0
496,2002,Primary,State Representative,Democratic,60,Democratic,emily tracy,1255.0,1,0.0,20025800018.0
691,2004,General,State Representative,0,60,Democratic,emily tracy,14426.0,2,0.0,20025800018.0
761,2004,Primary,State Representative,Democratic,60,Democratic,emily tracy,2802.0,1,0.0,20025800018.0
4167,2012,General,State Senate,0,8,Democratic,emily tracy,29688.0,2,0.0,20125023485.0
4220,2012,Primary,State Senate,Democratic,8,Democratic,emily tracy,3181.0,1,0.0,20125023485.0
4342,2016,General,State Senate,0,8,Democratic,emily tracy,32530.0,2,0.0,20125023485.0
4380,2016,Primary,State Senate,Democratic,8,Democratic,emily tracy,4385.0,1,0.0,20125023485.0
2260,2016,General,State Representative,0,35,Republican,emily voss,15660.0,2,0.0,20165031144.0
2419,2016,Primary,State Representative,Republican,35,Republican,emily voss,2905.0,1,0.0,20165031144.0
3066,2022,Primary,State Representative,Democratic,39,Democratic,eric brody,6406.0,1,0.0,20225043059
2762,2020,General,State Representative,0,12,Republican,eric davila,14227.0,2,0.0,20205038389.0
2966,2020,Primary,State Representative,Republican,12,Republican,eric davila,4909.0,1,0.0,20205038389.0
4436,2018,General,State Senate,0,13,Libertarian,eric joss,1776.0,3,0.0,
2365,2016,Primary,State Representative,Democratic,42,Democratic,eric nelson,1041.0,2,0.0,20155028940.0
4298,2014,General,State Senate,0,30,Libertarian,eric price,2359.0,3,0.0,
411,2002,General,State Representative,0,54,Green,eric rechel,3624.0,2,0.0,20025990271.0
2525,2018,General,State Representative,0,33,Republican,eric rutherford,17332.0,2,0.0,20185034045.0
2705,2018,Primary,State Representative,Republican,33,Republican,eric rutherford,6322.0,1,0.0,20185034045.0
4123,2010,Primary,State Senate,Democratic,3,Democratic,eric taylor,0.0,2,0.0,20095621539
4393,2016,Primary,State Senate,Democratic,31,Democratic,erin bennett,3874.0,3,0.0,20155028964.0
2581,2018,General,State Representative,0,60,Democratic,erin kelley,14426.0,2,0.0,20185033900.0
2666,2018,Primary,State Representative,Democratic,60,Democratic,erin kelley,5973.0,1,0.0,20185033900.0
2660,2018,Primary,State Representative,Democratic,54,Democratic,erin shipp,3868.0,1,0.0,20185035447.0
393,2002,General,State Representative,0,44,Democratic,ernie felix,6753.0,2,0.0,
484,2002,Primary,State Representative,Democratic,44,Democratic,ernie felix,748.0,1,0.0,
2200,2016,General,State Representative,0,8,Republican,evan vanderpool,6822.0,2,0.0,20165030232.0
2392,2016,Primary,State Representative,Republican,8,Republican,evan vanderpool,842.0,1,0.0,20165030232.0
3430,1992,General,State Senate,0,19,Democratic,evie hudak,17026.0,2,0.0,20075612064
3456,1992,Primary,State Senate,Democratic,19,Democratic,evie hudak,4941.0,1,0.0,20075612064
4016,2008,General,State Senate,0,19,Democratic,evie hudak,31740.0,1,0.0,20075612064.0
4047,2008,Primary,State Senate,Democratic,19,Democratic,evie hudak,6689.0,1,0.0,20075612064.0
4185,2012,General,State Senate,0,19,Democratic,evie hudak,35664.0,1,1.0,20075612064.0
4224,2012,Primary,State Senate,Democratic,19,Democratic,evie hudak,5684.0,1,1.0,20075612064.0
1996,2014,General,State Representative,0,35,Democratic,faith winter,14417.0,1,0.0,20135025443.0
2092,2014,Primary,State Representative,Democratic,35,Democratic,faith winter,3380.0,1,0.0,20135025443.0
2259,2016,General,State Representative,0,35,Democratic,faith winter,20198.0,1,1.0,20135025443.0
2357,2016,Primary,State Representative,Democratic,35,Democratic,faith winter,3926.0,1,1.0,20135025443.0
4448,2018,General,State Senate,0,24,Democratic,faith winter,35578.0,1,1.0,20175032074.0
4474,2018,Primary,State Senate,Democratic,24,Democratic,faith winter,14313.0,1,1.0,20175032074.0
4591,2022,Primary,State Senate,Democratic,25,Democratic,faith winter,16927.0,1,1.0,20225042367
3195,2006,General,Attorney General,0,Colorado,Democratic,fern obrien,651486.0,2,0.0,20065623109.0
3198,2006,Primary,Attorney General,Democratic,Colorado,Democratic,fern obrien,132249.0,1,0.0,20065623109.0
0,2000,General,State Representative,0,1,Democratic,fran coleman,11656.0,1,0.0,
163,2000,Primary,State Representative,Democratic,1,Democratic,fran coleman,918.0,1,0.0,
290,2002,General,State Representative,0,1,Democratic,fran coleman,11646.0,1,1.0,20025800073.0
439,2002,Primary,State Representative,Democratic,1,Democratic,fran coleman,2701.0,1,1.0,20025800073.0
568,2004,General,State Representative,0,1,Democratic,fran coleman,13132.0,1,1.0,
706,2004,Primary,State Representative,Democratic,1,Democratic,fran coleman,3296.0,1,1.0,
3976,2006,Primary,State Senate,Democratic,32,Democratic,fran coleman,1294.0,3,1.0,20065613255.0
3608,1996,Primary,State Senate,Republican,17,Republican,fran raudenbush,2703.0,2,0.0,19960817001
6,2000,General,State Representative,0,4,Democratic,frana mace,10466.0,1,0.0,19990904001.0
167,2000,Primary,State Representative,Democratic,4,Democratic,frana mace,1935.0,1,0.0,19990904001.0
4189,2012,General,State Senate,0,21,Republican,francine bigelow,16373.0,2,0.0,20125024042.0
4248,2012,Primary,State Senate,Republican,21,Republican,francine bigelow,1755.0,1,0.0,20125024042.0
646,2004,General,State Representative,0,38,Libertarian,frank atwood,1193.0,3,0.0,
2694,2018,Primary,State Representative,Republican,22,Republican,frank francone,4916.0,2,0.0,20175032069.0
3512,1994,General,State Senate,0,32,Republican,frank mcgregor,16234.0,2,0.0,19940832003
3549,1994,Primary,State Senate,Republican,32,Republican,frank mcgregor,2398.0,1,0.0,19940832003
906,2006,General,State Representative,0,43,Republican,frank mcnulty,14813.0,1,0.0,20055615953.0
1058,2006,Primary,State Representative,Republican,43,Republican,frank mcnulty,4070.0,1,0.0,20055615953.0
1170,2008,General,State Representative,0,43,Republican,frank mcnulty,27366.0,1,1.0,20055615953.0
1325,2008,Primary,State Representative,Republican,43,Republican,frank mcnulty,6729.0,1,1.0,20055615953.0
1433,2010,General,State Representative,0,43,Republican,frank mcnulty,22416.0,1,1.0,20055615953.0
1582,2010,Primary,State Representative,Republican,43,Republican,frank mcnulty,7682.0,1,1.0,20055615953.0
1725,2012,General,State Representative,0,43,Republican,frank mcnulty,25814.0,1,1.0,20055615953.0
1894,2012,Primary,State Representative,Republican,43,Republican,frank mcnulty,4718.0,1,1.0,20055615953.0
3577,1996,General,State Senate,0,29,Democratic,frank weddig,12562.0,1,0.0,19960829001
3596,1996,Primary,State Senate,Democratic,29,Democratic,frank weddig,1902.0,1,0.0,19960829001
106,2000,General,State Representative,0,43,Democratic,frank weddig,10142.0,1,1.0,19990943002.0
208,2000,Primary,State Representative,Democratic,43,Democratic,frank weddig,698.0,1,1.0,19990943002.0
375,2002,General,State Representative,0,36,Democratic,frank weddig,7885.0,1,1.0,19990943002.0
477,2002,Primary,State Representative,Democratic,36,Democratic,frank weddig,1556.0,1,1.0,19990943002.0
2794,2020,General,State Representative,0,23,Republican,fred clifford,17126.0,2,0.0,20205038092.0
2978,2020,Primary,State Representative,Republican,23,Republican,fred clifford,6290.0,1,0.0,20205038092.0
3118,2022,Primary,State Representative,Republican,23,Republican,fred clifford,6921.0,1,0.0,20225041992
3620,1996,Primary,State Senate,Republican,35,Democratic,fred greene,3576.0,2,0.0,
4105,2010,General,State Senate,0,24,Democratic,g stevens,33.0,3,0.0,20105018381.0
4635,2002,General,State Treasurer,0,Colorado,Libertarian,gaar potter,35549.0,4,0.0,
3148,2022,Primary,State Representative,Republican,48,Republican,gabe evans,6394.0,1,0.0,20215041802
3069,2022,Primary,State Representative,Democratic,42,Democratic,gail pough,2118.0,2,0.0,20225042082
4615,1990,General,State Treasurer,0,Colorado,Democratic,gail schoettler,534877.0,1,0.0,19930400001
3235,1998,General,Governor,0,Colorado,Democratic,gail schoettler,637655.0,2,1.0,19990100007
3239,1998,Primary,Governor,Democratic,Colorado,Democratic,gail schoettler,80038.0,1,1.0,19990100007
3928,2006,General,State Senate,0,5,Democratic,gail schwartz,24677.0,1,0.0,20065610171.0
3961,2006,Primary,State Senate,Democratic,5,Democratic,gail schwartz,4187.0,1,0.0,20065610171.0
4084,2010,General,State Senate,0,5,Democratic,gail schwartz,26355.0,1,1.0,20065610171.0
4124,2010,Primary,State Senate,Democratic,5,Democratic,gail schwartz,9542.0,1,1.0,20065610171.0
3173,1990,General,Attorney General,0,Colorado,Republican,gale norton,532373.0,1,0.0,19930500001
3175,1990,Primary,Attorney General,Republican,Colorado,Republican,gale norton,99378.0,1,0.0,19930500001
3178,1994,General,Attorney General,0,Colorado,Republican,gale norton,686816.0,1,1.0,19930500001
3180,1994,Primary,Attorney General,Republican,Colorado,Republican,gale norton,147653.0,1,1.0,19930500001
4551,2020,Primary,State Senate,Democratic,23,Democratic,galina nicoll,13295.0,2,0.0,20205038019
3568,1996,General,State Senate,0,21,Republican,garon reeves,16602.0,2,0.0,19960821002
3611,1996,Primary,State Senate,Republican,21,Republican,garon reeves,3938.0,1,0.0,19960821002
685,2004,General,State Representative,0,56,Democratic,gary lindstrom,16645.0,1,0.0,20035621095.0
758,2004,Primary,State Representative,Democratic,56,Democratic,gary lindstrom,1679.0,1,0.0,20035621095.0
1418,2010,General,State Representative,0,36,Republican,gary marshall,8580.0,2,0.0,20105017948.0
1575,2010,Primary,State Representative,Republican,36,Republican,gary marshall,3240.0,1,0.0,20105017948.0
3782,2000,Primary,State Senate,Republican,28,Republican,gary mcpherson,2082.0,2,0.0,
1432,2010,General,State Representative,0,43,Democratic,gary semro,10973.0,2,0.0,20105018071.0
1522,2010,Primary,State Representative,Democratic,43,Democratic,gary semro,3561.0,1,0.0,20105018071.0
1724,2012,General,State Representative,0,43,Democratic,gary semro,15625.0,2,0.0,20105018071.0
1828,2012,Primary,State Representative,Democratic,43,Democratic,gary semro,1775.0,1,0.0,20105018071.0
2194,2016,General,State Representative,0,4,Republican,gavin halligan,7577.0,2,0.0,20165031581.0
136,2000,General,State Representative,0,55,Republican,gayle berry,20570.0,1,0.0,19990955002.0
278,2000,Primary,State Representative,Republican,55,Republican,gayle berry,1885.0,1,0.0,19990955002.0
413,2002,General,State Representative,0,55,Republican,gayle berry,17994.0,1,1.0,19990955002.0
555,2002,Primary,State Representative,Republican,55,Republican,gayle berry,3515.0,1,1.0,19990955002.0
3686,1998,Primary,State Senate,Republican,30,Republican,gayle winters,2587.0,3,0.0,19970830003
2557,2018,General,State Representative,0,48,Democratic,gbenga ajiboye,13967.0,2,0.0,20185033709.0
2653,2018,Primary,State Representative,Democratic,48,Democratic,gbenga ajiboye,4721.0,1,0.0,20185033709.0
2882,2020,General,State Representative,0,63,Democratic,gen schneider,20906.0,2,0.0,20195037203
2955,2020,Primary,State Representative,Democratic,63,Democratic,gen schneider,9257.0,1,0.0,20195037203
156,2000,General,State Representative,0,63,Libertarian,gene leverett,3262.0,2,0.0,
431,2002,General,State Representative,0,63,Libertarian,gene leverett,3053.0,2,0.0,
244,2000,Primary,State Representative,Republican,26,Republican,gene motta,1124.0,2,0.0,19970926004
2007,2014,General,State Representative,0,40,Libertarian,geoff hierholz,1318.0,3,0.0,
3315,1998,General,Secretary of State,0,Colorado,Libertarian,geoffrey lloyd,31673.0,3,0.0,
292,2002,General,State Representative,0,2,Libertarian,geoffrey lloyd,474.0,3,0.0,
3211,2018,General,Attorney General,0,Colorado,Republican,george brauchler,1124757.0,2,0.0,20175033299.0
3214,2018,Primary,Attorney General,Republican,Colorado,Republican,george brauchler,418713.0,1,0.0,20175033299.0
3232,1994,Primary,Governor,Republican,Colorado,Republican,george carouthers,410.0,4,0.0,
1168,2008,General,State Representative,0,42,Republican,george carouthers,4395.0,2,0.0,20085607345.0
1324,2008,Primary,State Representative,Republican,42,Republican,george carouthers,1438.0,1,0.0,20085607345.0
18,2000,General,State Representative,0,10,American Constitution,george lilly,397.0,3,0.0,
2780,2020,General,State Representative,0,18,Republican,george rapko,16331.0,2,0.0,20205038224.0
2972,2020,Primary,State Representative,Republican,18,Republican,george rapko,6946.0,1,0.0,20205038224.0
4263,2013,Recall,State Senate,0,3,Republican,george rivera,19391.0,1,0.0,20135025513
4271,2014,General,State Senate,0,3,Republican,george rivera,22814.0,2,0.0,20135025513.0
4322,2014,Primary,State Senate,Republican,3,Republican,george rivera,6877.0,1,0.0,20135025513.0
4653,2018,General,State Treasurer,0,Colorado,American Constitution,gerald kilpatrick,70475.0,3,0.0,20185035305.0
825,2004,Primary,State Representative,Republican,64,Republican,gerald mcdaniel,1853.0,2,0.0,20045641391.0
3629,1998,General,State Senate,0,5,Republican,gigi dennis,27600.0,1,0.0,19970805003
3674,1998,Primary,State Senate,Republican,5,Republican,gigi dennis,4863.0,1,0.0,19970805003
4431,2018,General,State Senate,0,9,Democratic,gil armendariz,25892.0,2,0.0,20185033805
4467,2018,Primary,State Senate,Democratic,9,Democratic,gil armendariz,9751.0,1,0.0,20185033805
4089,2010,General,State Senate,0,7,Libertarian,gilbert fuller,2190.0,3,0.0,
2296,2016,General,State Representative,0,54,Libertarian,gilbert fuller,8563.0,2,0.0,20165030464.0
3490,1994,General,State Senate,0,5,Republican,ginette dennis,19520.0,1,0.0,19970805003
3535,1994,Primary,State Senate,Republican,5,Republican,ginette dennis,3407.0,1,0.0,19970805003
3644,1998,General,State Senate,0,22,Democratic,ginny knott,14453.0,2,0.0,19980822004
3663,1998,Primary,State Senate,Democratic,22,Democratic,ginny knott,2686.0,1,0.0,19980822004
2867,2020,General,State Representative,0,56,Democratic,giugi carminati,23790.0,2,0.0,20195037144
2947,2020,Primary,State Representative,Democratic,56,Democratic,giugi carminati,12005.0,1,0.0,20195037144
22,2000,General,State Representative,0,11,Libertarian,glen brink,2987.0,2,0.0,
380,2002,General,State Representative,0,38,Democratic,glen emerson,8805.0,2,0.0,20025800199.0
479,2002,Primary,State Representative,Democratic,38,Democratic,glen emerson,1567.0,1,0.0,20025800199.0
645,2004,General,State Representative,0,38,Democratic,glen emerson,12279.0,2,0.0,20025800199
741,2004,Primary,State Representative,Democratic,38,Democratic,glen emerson,3035.0,1,0.0,20025800199
1949,2014,General,State Representative,0,14,Democratic,glenn carlson,7558.0,2,0.0,20145026635.0
2073,2014,Primary,State Representative,Democratic,14,Democratic,glenn carlson,1377.0,1,0.0,20145026635.0
2307,2016,General,State Representative,0,60,Libertarian,glenn ingalls,2651.0,3,0.0,
2582,2018,General,State Representative,0,60,Libertarian,glenn ingalls,1343.0,3,0.0,
600,2004,General,State Representative,0,17,Democratic,glenn kapu,5014.0,2,0.0,
722,2004,Primary,State Representative,Democratic,17,Democratic,glenn kapu,944.0,1,0.0,
3122,2022,Primary,State Representative,Republican,26,Republican,glenn lowe,3756.0,2,0.0,20225042203
871,2006,General,State Representative,0,26,Republican,glenn rhoades,8895.0,2,0.0,20065612042.0
1041,2006,Primary,State Representative,Republican,26,Republican,glenn rhoades,2557.0,1,0.0,20065612042.0
155,2000,General,State Representative,0,62,Republican,glenn scott,17221.0,1,0.0,19990962003
286,2000,Primary,State Representative,Republican,62,Republican,glenn scott,1618.0,1,0.0,19990962003
916,2006,General,State Representative,0,48,Republican,glenn vaad,18335.0,1,0.0,20055615047.0
1063,2006,Primary,State Representative,Republican,48,Republican,glenn vaad,4217.0,1,0.0,20055615047.0
1179,2008,General,State Representative,0,48,Republican,glenn vaad,28937.0,1,1.0,20055615047.0
1330,2008,Primary,State Representative,Republican,48,Republican,glenn vaad,3425.0,1,1.0,20055615047.0
1443,2010,General,State Representative,0,48,Republican,glenn vaad,26427.0,1,1.0,20055615047.0
1589,2010,Primary,State Representative,Republican,48,Republican,glenn vaad,8445.0,1,1.0,20055615047.0
4251,2012,Primary,State Senate,Republican,23,Republican,glenn vaad,3981.0,2,1.0,20115022709.0
4080,2010,General,State Senate,0,2,Democratic,gloria stultz,18581.0,2,0.0,20105018196.0
4121,2010,Primary,State Senate,Democratic,2,Democratic,gloria stultz,7945.0,1,0.0,20105018196.0
3513,1994,General,State Senate,0,33,Democratic,gloria tanner,17039.0,1,0.0,19940833001
3530,1994,Primary,State Senate,Democratic,33,Democratic,gloria tanner,3511.0,1,0.0,19940833001
3580,1996,General,State Senate,0,33,Democratic,gloria tanner,25073.0,1,1.0,19940833001
3598,1996,Primary,State Senate,Democratic,33,Democratic,gloria tanner,5761.0,1,1.0,19940833001
4459,2018,General,State Senate,0,34,Republican,gordon alley,11018.0,2,0.0,20185034046.0
4499,2018,Primary,State Senate,Republican,34,Republican,gordon alley,2777.0,1,0.0,20185034046.0
1952,2014,General,State Representative,0,15,Republican,gordon klingenschmitt,17053.0,1,0.0,20135026381.0
2129,2014,Primary,State Representative,Republican,15,Republican,gordon klingenschmitt,3483.0,1,0.0,20135026381.0
4405,2016,Primary,State Senate,Republican,12,Republican,gordon klingenschmitt,5103.0,2,1.0,20155028966.0
107,2000,General,State Representative,0,43,Libertarian,grace reed,713.0,3,0.0,
2515,2018,General,State Representative,0,29,Republican,grady nouis,14169.0,2,0.0,20175032278.0
2701,2018,Primary,State Representative,Republican,29,Republican,grady nouis,5258.0,1,0.0,20175032278.0
3004,2020,Primary,State Representative,Republican,48,Republican,grady nouis,7026.0,2,0.0,20175032278.0
2745,2020,General,State Representative,0,4,Republican,grant price,7651.0,2,0.0,20205038984.0
2960,2020,Primary,State Representative,Republican,4,Republican,grant price,1790.0,1,0.0,20205038984.0
432,2002,General,State Representative,0,63,Republican,greg brophy,18017.0,1,0.0,20025606585.0
700,2004,General,State Representative,0,63,Republican,greg brophy,19585.0,1,1.0,20025606585.0
824,2004,Primary,State Representative,Republican,63,Republican,greg brophy,6632.0,1,1.0,20025606585.0
3924,2006,General,State Senate,0,1,Republican,greg brophy,29505.0,1,1.0,20025606585.0
3979,2006,Primary,State Senate,Republican,1,Republican,greg brophy,9707.0,1,1.0,20025606585.0
4079,2010,General,State Senate,0,1,Republican,greg brophy,34632.0,1,1.0,20025606585.0
4142,2010,Primary,State Senate,Republican,1,Republican,greg brophy,16577.0,1,1.0,20025606585.0
3687,1998,Primary,State Senate,Republican,30,Republican,greg lopez,2306.0,4,0.0,19980830005
3295,2018,Primary,Governor,Republican,Colorado,Republican,greg lopez,66432.0,3,0.0,20175032123.0
3299,2022,Primary,Governor,Republican,Colorado,Republican,greg lopez,292187.0,2,0.0,20195036764
564,2002,Primary,State Representative,Republican,63,Republican,greg rophy,5199.0,1,0.0,20025606585.0
1840,2012,Primary,State Representative,Democratic,58,Democratic,greg thornton,2284.0,1,0.0,20125024715.0
3379,1990,General,State Senate,0,22,Democratic,gregg mcreynolds,11721.0,2,0.0,
3397,1990,Primary,State Senate,Democratic,22,Republican,gregg mcreynolds,4503.0,1,0.0,
68,2000,General,State Representative,0,29,Libertarian,gregg miller,836.0,3,0.0,
356,2002,General,State Representative,0,27,Libertarian,gregg miller,636.0,3,0.0,
4288,2014,General,State Senate,0,19,Libertarian,gregg miller,3664.0,3,0.0,
141,2000,General,State Representative,0,57,Republican,gregg rippy,19026.0,1,0.0,19990957004.0
281,2000,Primary,State Representative,Republican,57,Republican,gregg rippy,2699.0,1,0.0,19990957004.0
428,2002,General,State Representative,0,61,Republican,gregg rippy,11622.0,1,1.0,19990957004.0
562,2002,Primary,State Representative,Republican,61,Republican,gregg rippy,1566.0,1,1.0,19990957004.0
581,2004,General,State Representative,0,6,Republican,gregory golyansky,9391.0,2,0.0,20045645658.0
772,2004,Primary,State Representative,Republican,6,Republican,gregory golyansky,3096.0,1,0.0,20045645658.0
1399,2010,General,State Representative,0,27,Libertarian,gt martin,1681.0,3,0.0,20105017733.0
1682,2012,General,State Representative,0,27,Libertarian,gt martin,2190.0,3,0.0,
3094,2022,Primary,State Representative,Republican,1,Republican,guillermo diaz,3395.0,1,0.0,20215041333
4427,2018,General,State Senate,0,6,Democratic,guinn unger,33208.0,2,0.0,20185033871.0
4465,2018,Primary,State Senate,Democratic,6,Democratic,guinn unger,11392.0,1,0.0,20185033871.0
613,2004,General,State Representative,0,23,Democratic,gwyn green,13432.0,1,0.0,20035621749.0
726,2004,Primary,State Representative,Democratic,23,Democratic,gwyn green,3065.0,1,0.0,20035621749.0
863,2006,General,State Representative,0,23,Democratic,gwyn green,12316.0,1,1.0,20035621749.0
976,2006,Primary,State Representative,Democratic,23,Democratic,gwyn green,3005.0,1,1.0,20035621749.0
1126,2008,General,State Representative,0,23,Democratic,gwyn green,18027.0,1,1.0,20035621749.0
1240,2008,Primary,State Representative,Democratic,23,Democratic,gwyn green,3185.0,1,1.0,20035621749.0
3437,1992,General,State Senate,0,25,Republican,h mitchell,14120.0,2,0.0,
3477,1992,Primary,State Senate,Republican,25,Republican,h mitchell,1486.0,1,0.0,
1729,2012,General,State Representative,0,45,Libertarian,hanna kjerengtroen,1983.0,3,0.0,
4349,2016,General,State Senate,0,14,Republican,hans hochheimer,32886.0,2,0.0,20165031105.0
4406,2016,Primary,State Senate,Republican,14,Republican,hans hochheimer,5678.0,1,0.0,20165031105.0
4512,2020,General,State Senate,0,14,Republican,hans hochheimer,31724.0,2,0.0,20205038081.0
4567,2020,Primary,State Senate,Republican,14,Republican,hans hochheimer,10555.0,1,0.0,20205038081.0
361,2002,General,State Representative,0,29,Libertarian,hans romer,584.0,3,0.0,
1688,2012,General,State Representative,0,29,Libertarian,hans romer,2129.0,3,0.0,
1983,2014,General,State Representative,0,29,Libertarian,hans romer,2040.0,3,0.0,
4354,2016,General,State Senate,0,19,Libertarian,hans romer,5112.0,3,0.0,
2514,2018,General,State Representative,0,29,Libertarian,hans romer,1637.0,3,0.0,
3420,1992,General,State Senate,0,4,Republican,harold mccormick,21801.0,2,0.0,
3466,1992,Primary,State Senate,Republican,4,Republican,harold mccormick,4862.0,1,0.0,
3275,2014,General,Governor,0,Colorado,Green,harry olson,27391.0,4,0.0,
3729,2000,General,State Senate,0,27,Libertarian,harry ozols,1139.0,3,0.0,
3514,1994,General,State Senate,0,33,Republican,harvey swan,6388.0,2,0.0,19940833002
3550,1994,Primary,State Senate,Republican,33,Republican,harvey swan,804.0,1,0.0,19940833002
4476,2018,Primary,State Senate,Democratic,32,Democratic,hazel gibson,7458.0,3,0.0,20175032244.0
4506,2020,General,State Senate,0,10,Libertarian,heather johnson,4620.0,3,0.0,
415,2002,General,State Representative,0,56,Republican,heather lemon,9682.0,2,0.0,20025800133.0
557,2002,Primary,State Representative,Republican,56,Republican,heather lemon,1742.0,1,0.0,20025800133.0
686,2004,General,State Representative,0,56,Republican,heather lemon,13791.0,2,0.0,20025800133
817,2004,Primary,State Representative,Republican,56,Republican,heather lemon,2571.0,1,0.0,20025800133
256,2000,Primary,State Representative,Republican,37,Republican,heidi frey,2605.0,2,0.0,20000937006.0
3300,2022,Primary,Governor,Republican,Colorado,Republican,heidi ganahl,341157.0,1,0.0,20215040971
3128,2022,Primary,State Representative,Republican,31,Republican,heidi pitchforth,3552.0,1,0.0,20225042224
2013,2014,General,State Representative,0,43,Democratic,henry barlow,12355.0,2,0.0,20145028035.0
2100,2014,Primary,State Representative,Democratic,43,Democratic,henry barlow,2453.0,1,0.0,20145028035.0
3100,2022,Primary,State Representative,Republican,8,Republican,hilleary waters,1494.0,1,0.0,20225043073
1173,2008,General,State Representative,0,45,Democratic,holly gorman,18318.0,2,0.0,20085611949.0
1265,2008,Primary,State Representative,Democratic,45,Democratic,holly gorman,2465.0,1,0.0,20085611949.0
4164,2012,General,State Senate,0,4,Democratic,holly gorman,24968.0,2,0.0,20125024719.0
4219,2012,Primary,State Senate,Democratic,4,Democratic,holly gorman,3107.0,1,0.0,20125024719.0
1145,2008,General,State Representative,0,31,Republican,holly hansen,17997.0,2,0.0,20085603565.0
1315,2008,Primary,State Representative,Republican,31,Republican,holly hansen,2567.0,1,0.0,20085603565.0
