contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Registered Voters",1,,,,,County,Arapahoe,5254
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Jennifer L. Veiga",0,Democratic,,,,County,Arapahoe,511
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Ballots Cast",1,,,,,County,Arapahoe,511
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Registered Voters",1,,,,,County,Denver,7079
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Jennifer L. Veiga",0,Democratic,,,,County,Denver,441
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Ballots Cast",1,,,,,County,Denver,441
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Votes Cast",1,,,,,County,Arapahoe,511
7573,"2000-08-08 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Votes Cast",1,,,,,County,Denver,441
17889,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",30,"Mary Hodge",0,Democratic,,,,County,Adams,908
17889,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",30,"Total Ballots Cast",1,,,,,County,Adams,908
17889,"2002-08-13 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",30,"Total Votes Cast",1,,,,,County,Adams,908
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Registered Voters",1,,,,,County,Baca,1333
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Kenneth Kester",0,Republican,,,,County,Baca,419
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Registered Voters",1,,,,,County,Bent,992
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Kenneth Kester",0,Republican,,,,County,Bent,279
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Registered Voters",1,,,,,County,Crowley,1046
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Kenneth Kester",0,Republican,,,,County,Crowley,299
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Registered Voters",1,,,,,County,Huerfano,694
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Kenneth Kester",0,Republican,,,,County,Huerfano,126
7628,"2000-08-08 00:00:00",Primary,Republican,0,,,,,"State Representative","State Representative District",47,"Registered Voters",1,,,,,County,"Las Animas",1900
