contest_id,election_date,election_type,primary_party,is_voter_statistics,question_number,question_text,question_type,question_grouping,office_name,district_type,district_name,candidate_name,is_pseudocandidate,candidate_party,candidate_party_2,candidate_party3,candidate_for_retention_or_recall,granular_division_type,granular_division_name,votes
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Registered Voters",1,,,,,County,Arapahoe,3395
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Registered Voters",1,,,,,County,Denver,6480
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Ballots Cast",1,,,,,County,Arapahoe,2024
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Wayne N. Knox",0,Democratic,,,,County,Arapahoe,1216
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Ballots Cast",1,,,,,County,Denver,2705
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Wayne N. Knox",0,Democratic,,,,County,Denver,1268
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Votes Cast",1,,,,,County,Arapahoe,1216
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Total Votes Cast",1,,,,,County,Denver,1268
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Blank Votes",1,,,,,County,Arapahoe,808
18386,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",3,"Blank Votes",1,,,,,County,Denver,1437
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Blank Votes",1,,,,,County,"Clear Creek",140
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Registered Voters",1,,,,,County,"Clear Creek",1443
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Sam Williams",0,Democratic,,,,County,"Clear Creek",543
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Blank Votes",1,,,,,County,Gilpin,111
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Registered Voters",1,,,,,County,Gilpin,702
12605,"1992-08-11 00:00:00",Primary,Democratic,0,,,,,"State Representative","State Representative District",62,"Sam Williams",0,Democratic,,,,County,Gilpin,141
